"msg","creator","type"
"""Hi Bill. Congratulations on being excepted into the space program. I am positive you will make a wonderful astronaut. I know you have been preparing for this your whole life. It must be exciting preparing to go to Mars. I wonder if you will get to bring back an souvenirs from the red planet. Regardless it's sure to be the experience of a lifetime.""","participant 1","email"
"""Hi Jane. Congratulations on being accepted into the Avengers. I know you have always wanted to be a superhero. Now you will get to defend the Earth against all kinds of threats while you fight besides the mightiest heroes. To tell you the truth, I am a tad bit envious. Okay. I am super envious. I wish I could be there with you."",","participant 1","email"
"""Hi Emily. Congratulations on making the Olympic team. I know you have been practicing figure skating almost your entire life and have been dreaming of this moment. Well, you have finally made it. I am confident you will represent our country proudly and bring home a gold medal. I plan to be there watching you."",","participant 1","email"
"""Hi Sarah. Congratulations on becoming President. I always believed you could do it. I am so proud that you are our country's first woman in the Oval Office. I know you will make lead our country to new heights of greatness. I can't wait until you make sure all Americans have access to affordable health care."",","participant 1","email"
"""Hi Wanda. I can't believe winter is finally here. It is my absolute favorite season. I love the holidays. Christmas is my favorite.  I love all the snow too. I hope we get tons of it this year. I can't wait to build the biggest snow fort humanity has ever seen. I'll contact Guiness because I am sure it will set a world record."",","participant 1","email"
"""Hi Beverly. I can't wait until Spring arrives. It is my absolute favorite season. I love the green grass and the spring flowers. I love the sounds of birds chirping and bees buzzing. Best of all it is warm and sunny. I can feel the gentle warm breeze right now. I am so ready for it to get here. Winter sucks."",","participant 1","email"
"""Hi Amber. I am having such a miserable day. I got fired for stealing from work. I can't believe they finally caught me."",","participant 1","tweet"
"""Hi Victoria. I am having such a rotten day. First I was late to work. Then my boss had a stroke. It was terrifying."",","participant 1","tweet"
"""In five years I will be the highest paid attorney in America. You won't believe how much money I'll be making off all the high profile malpractice suites."",","participant 1","tweet"
"""Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you."",","participant 1","tweet"
"""Hi Bill. I will be late for the meeting today. My mother was crushed by a steamroller and I have to go to the morgue to identify her body."",","participant 1","tweet"
"""Hi Jane. My favorite movie is Forest Gump. It is humorous. It is also equally parts sad and sweet. I always loose track of time when I watch it. "",","participant 1","tweet"
"""Hi Jackie. I won't be able to go with you this weekend. The circus is in town and I feel strangely compelled to go to it instead."",","participant 1","tweet"
"""Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific. "",","participant 1","text"
"""Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk.""","participant 1","text"
"""Probably a game or something like that, although I was looking at some Bluetooth earbuds the other day too. Those might be nice -- my headphones start to hurt my ears after a while because of my glasses. Not sure how much you plan to spend though. A gift card always works or even a gift code or whatever to Amazon."",","participant 2","email"
