base sample,imitation,imitation condition,message type
participant1,,,tweet
"I would ask but I'm worried about my job at the moment. I'm scared to make waves, maybe I'll just wait. If I do a good job I'm sure he'll offer me one. ","Well, I think if we can help Wilma get the debtasuruses off our backs the raise will be a slam dunk. MR. Slate can't say no if we are amazing.","cond11_p2_t15 : Mr. Slate, Wilma really has a problem and if we don't get some of the debtasauruses off our backs, it'll kill me. Raise?",tweet
"Congratulations man, if anyone deserved it it was you. I remember when you started this journey and told me about your goal.",I've done some dumb things and gone down the wrong path more then once but you guys have always been there with waiting arms. Thank you!,"cond5_p2_t6 : Mom, Dad, not enough thanking over the years... But I gotta thank you now for letting me make some of the mistakes I made.",tweet
"Hey babe, I was thinking since we both have been working really hard lately we should get away for the weekend, what do you think?",I would argue even that it is the best scene ever made! Let me know when you get a chance to see it I want to talk about it.,"cond14_p2_t6 : The best scene is the one at the very end -- you'll know it when you see it... Slow-motion, great song, absurd situation.",tweet
Idk if I've ever told you but my all time favorite season is spring. I love the weather getting warmer and the storms. Yay rain,"I'm touched you took the time to make it for me, and for remembering I love made gifts more then bought ones. You always rock!",cond2_p3_t9 : I just wanted to thank you for the the afghan that you made for me. It is so beautiful and I will use it every day. It's awesome.,tweet
"I have always been a huge fan of yours Mark Shepard! It was so cool to get to meet you at PCC last fall, can't wait to meet again.","You're pushing, and sometimes dragging me, support has made all the difference in my life and I can never repay that, Thank you!",cond5_p1_t9 : Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you.,tweet
I've been to a lot of cities my friend but I would have to say Metropolis was just amazing! So much Superman just everywhere!,"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.",cond15_p1_t15 : Hi Jackie. I won't be able to go with you this weekend. The circus is in town and I feel strangely compelled to go to it instead.,tweet
"Erest Cline, your book Ready Player One was the best book I have ever read! I've read it 3 times and saw the movie twice!","I think if you let me help Elroy out a bit and show that I can get him to turn around, I feel that will justify the raise. ","cond11_p2_t13 : Mr Spacely, you know how Elroy got into that trouble? I hate to do this, but I really could use a raise to keep him out.",tweet
"Congratulations, I know you have been pounding the pavement trying to get that account, and I told you you would. Congrates again!","\nYou're pushing, and sometimes dragging me, support has made all the difference in my life and I can never repay that, Thank you!",cond5_p1_t9 : Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you.,tweet
"I've worked with this company for a very long time and I have always been among the top in performance, I would like a raise.","Mr. Slate, I will happily take care of this debtasauruses issue and get it off all of our backs. Afterwards I would like to talk about a raise. ","cond11_p2_t15 : Mr. Slate, Wilma really has a problem and if we don't get some of the debtasauruses off our backs, it'll kill me. Raise?",tweet
In five years I see myself enjoying life at my goal weight and traveling the world with my daughter. Also I want to have steady income ,"\nYou're pushing, and sometimes dragging me, support has made all the difference in my life and I can never repay that, Thank you!","cond5_p2_t6 : Mom, Dad, not enough thanking over the years... But I gotta thank you now for letting me make some of the mistakes I made.",tweet
"Dude, you have to go see Ready Player One. It is by far the best movie out there and all the Easter eggs in it is mind boggling.", , ,tweet
I've held my tongue as long as I can but I just can't handle you making those dumb animal sounds all the time. Please stop, , ,tweet
I was thinking honey and I think we should get away for a few days. We could both really use a break from normal life and stress., , ,tweet
"In five years I see myself living in a very nice, completed, house that we are going to be starting this summer. I can't wait. ", , ,tweet
"I think we should go check out New Zealand this summer, we have always talked about it and you love the countryside there. ", , ,tweet
"I think it's time we finally go check out Japan, we're not getting any younger and we should stop talking about some day and just do it.", , ,tweet
I have been with the company for 12 years and never once been in trouble or been late. My work is always top notch and I think I deserve a raise. , , ,tweet
"Larry Correia, your series Monster Hunter International is problem one of the best book series out there! I can't wait to see where it goes.", , ,tweet
"Dude, you have got to check out Ready Player One. The scene with the Shinning in it was just epic and was such a great part of the movie. ", , ,tweet
"Hey, I just wanted to take a moment to thank you for your gift last week. It was really cool and you always seem to know what to get me. ", , ,tweet
"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.", , ,tweet
"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.", , ,tweet
"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.", , ,tweet
"Hey, I just wanted to take a moment to thank you for your gift last week. It was really cool and you always seem to know what to get me. ", , ,tweet
"Hey, I just wanted to take a moment to thank you for your gift last week. It was really cool and you always seem to know what to get me. ", , ,tweet
"Mom, Dad, thank you both for the add for my game. I know it wasn't the cheapest present but it really meant a lot, thank you both. ", , ,tweet
"Dude, I have tried to ignore and drop little hints but I just can't take it anymore. You have got to stop making those random animal sounds.", , ,tweet
"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ", , ,tweet
"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. ", , ,tweet
I hate to say but I'm going to be late to the meeting this afternoon. I blew two tires this morning on my way to the meeting.  , , ,tweet
"Mom, Dad, thank you both for the add for my game. I know it wasn't the cheapest present but it really meant a lot, thank you both. ", , ,tweet
