base writing sample,imitation,condition of imitation,message type
participant1,,,text
My favorite actor is Adam Sandler because every movie makes me laugh. He is a comedian.,"I know but when i hear certain things, i want to jump in to see if i can help at all. ",cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
The culture of Seattle is unique. You will find people from every races and backgrounds.,I know but its just a bad habit that I have always had. Im trying to break it. ,cond7_p2_t8 : Do you have to keep biting your fingernails like that? There are clippers to make that easy.,text
"Im so sorry I have to cancel. My car is leaking oil very badly, I don't want to hurt it. ",Thats no excuse as to why you cannot be here. Unless its yours. be here ,cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
Footloose. Because I love fun energetic movies with lots of upbeat music and smiles. ,Dont be so hard on yourself. Set bigger goals for your self and stride for them,"cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
Thank you so much for my birthday gift this year. I can use it all the time. Very handy!,Okay i completely understand. That is understandable. you do what you have to,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
Seattle is a unique city. You will find people from every race and background. ,I know what you want. You talked about it every single day. Course I was gonna get it. ,cond2_p3_t2 : I absolutely loved the present that you gave me Faye. I will use it every day. Best friends forever.,text
Seattle is very unique. You can find food from every culture in the world in one city. ,You will be a cool parent. You work that and show those kids how cool you are. ,cond3_p2_t3 : Not much will have changed then. L will be about to start high school -- Ill be very uncool.,text
This year I want a new plate set for my kitchen. My old one is very worn out. ,Thats understandable. I hope to see you at the next party! keep your head up,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
Congratulations!You did so good. I knew you could do it if you stuck to it! Proud of you!,You have to do what you have to do. there will always be another party for you to come to ,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
I was just wondering if maybe i could get a promotion. I work and achieve the most!,Im glad that you can use it everysingle day. It was well worth the money! I knew it,cond2_p3_t2 : I absolutely loved the present that you gave me Faye. I will use it every day. Best friends forever.,text
I just wanted you to know you are my favorite of all time. You made my childhood great!,You can always keep pushing yourself to be a better version of yourself.  never give up!,cond13_p3_t1 : In five years I see myself getting stronger because I will be healthier.,text
I see myself settled into my own house on a little piece of land with my wife!, , ,text
Summer is so beautiful. It brings families together and is the season of good outdoor fun!, , ,text
Thank you for the gift you had given me. You guys always know exactly what I want. , , ,text
"I see myself in a very stable career. With my wife, in our own house very happy!", , ,text
"You have always been my favorite because even during sad movies, you still make it fun!", , ,text
I am not going to be on time. My car would not start this morning. I tried everything. , , ,text
Could I get a raise. I always go above and beyond what everyone else does. , , ,text
