,Answer.time_in_minutes,orig_author,prompt,response,sample_1,sample_2,sample_3,trial_type,workerid
0,27.56433333333333,5,"You must sell your cell phone or tablet device. However, the condition of the device is not satisfactory and you currently do not have the funds to fix it. Using any tactic, how would you sell your device?","Hi, I have an excellent cell phone that I would like to sell you. It is a Beautiful Samsung Galaxy S9 plus and it works very well for its age. I would be willing to negotiate a price for you to purchase my cell phone. Please make an offer that I could not refuse. I think we could come to a reasonable price that we could agree on. The S9 Plus has amazing feautures on it. It has a really good camera, an excellent protective case and a good screen protector. With the case and screen protector it makes the phone well off. You could check it out if you wish before purchasing it. I am sure it works well. My mom also thinks it is an amazing phone and she wanted one in the past. It is just time to move on and purchase an upgrade for my phone.","Mom,I am sorry to worry you, I know you haven't been able to get in contact with me. I am in the hospital now recovering from a terrible car accident. It was bad, but please don't worry too much. I am recovering fine, and you can come visit soon if you want. I was leaving The shop at Herman's the other day. I went down the road by the pond that guy built himself. Someone pulled out from that stupid stop sign too far to check for cars. I had to swerve at the last minute to not run into him, but it was a little slippery and my car started to spin. A car coming the opposite direction ran into me and pinned my car between his and a tree. Of course it was the driver side right where I was sitting the tree hit. I had one surgery already, I got some metal in me now. The dr say I should make a good recovery.Love alwaysT","Allen,I am so sorry that I am late already. I know today was important. I am on my way soon if I can still do anything when I get in. Jess had to leave early for work this morning so I was in charge of the boys. I thought we were going to be fine. Everything was running smoothly and then when I went to get the boys to put them in the car Oliver told me he had swallowed a penny. I called the Dr real quick and they said that can actually be really dangerous on rare occasions, they gave me some symptoms and I went along my day. By time we got Logan to school, Oliver was just about none stop screaming in the back seat. I ended taking him to the ER and found out the penny was dissolving in his stomach and causing a reaction. I have been here with him while they get it out and treat him. He will be fine but has to stay for a while. Jess just came to relieve me and I will be in as soon as possible. again I am so sorry.Kind Regards,T","Mom,I need the password to the paypal account. I have some bills coming up and I could use to pull some money out of it. I lost the password somewhere, you know me. I am sorry to bother you. Honestly I was also hoping to pull the money out and be able to replace it before you knew. I have looked everywhere for the password though and I just can't find it or remember it. The bill is due tommorrow and If I don't put it through soon it wont go through in time. I really need to take it from the paypal so I can have it move quickly. If you can get back to me as soon as possible. I know I promised I would stop taking so much from the account, but times have been so tough, and I am already behind on so many other bills.",single_trial,0
1,27.56433333333333,2,You have gotten into an accident that was nearly fatal. Explain to your mother what/when/where/how/why you got into that accident. ,"Mom, I have some bad news for you. I was driving down prairie lane last night when I went through an intersection. I thought I saw a UFO in the sky and I was hit by another car while going through the intersection. It was kind of crazy. The other driver hit me on the right side of my car. I swear I went through a green light and his was red, but I was kind of looking up in the sky and thought I saw a UFO. Anyways I am at the hospital and getting checked out but nothing is broken, just a few bumps and bruises. I am sure you will understand that the BMW is totaled probably because of that darn UFO I saw in the sky. I should sue those aliens for distracting me you know. It could be an intergalactic lawsuit.","Mom, it is very important that you listen carefully to what I'm about to tell you. I am currently in an unknown location, being held against my will. My captors have given me only one instruction. I need to transfer money from our joint account into their offshore bank account by midnight tonight or they will kill me. Please Mom, these men are serious. I need to know the password for the account and I will be able to make the wire transfer from my location with their help. If you can just do this one thing, they promised to let me go and never bother our family again. I love you so much, and I'm very sorry this is happening. I do not know these people where they came from, or why they have this motive. I would really appreciate your help, and hopefully we will be together soon safely- and happily.","Hi Terry, it's me. Unfortunately, I'm writing to you today because I have bad news. I'm extremely embarrassed to admit that I've been very Reckless with my behavior lately. I'll just get right to the point. Last night I borrowed your Tesla. That's right, your baby, your favorite, the great love of your life. I'm very embarrassed to admit that I went out and had a lot to drink last night. For whatever irresponsible reason, when I returned home I saw your shiny red baby parked in the driveway. I had a spare key so without thinking, I ran straight over, hopped in the seat and started barreling down our street. Well, my little Adventure came to an abrupt end as I hit the gate to the complex. So it is with great sympathy that I need to let you know that your Tesla is no longer. Since the car was wrapped completely around the fence and gate, my insurance adjuster informed me that it was totaled. I'm extremely extremely sorry, and I promise to repay every penny. I left the keys to my car on your front porch. Please feel free to drive it until I'm able to replace your baby.",Hi Jack it's me I was just wanted to see what you were up to lately I haven't seen you since the big reunions how are Mary and the kids? I've been doing well in school but lately I've had a really difficult time with tuition I'd like to take you up on your offer for a personal loan to help pay for some of my school supplies. You gave me some great advice at the reunions and I wanted to tell you how grateful I am I took you up on your advice and I did get a small part time job that would allow me to earn a little bit of money while I'm in school. So I have a proposal for you if you're willing to make the loan to help me out with school supplies in my tuition I'll be able to start making payments while I'm still in school that we can increase after I've graduated.,single_trial,0
2,27.56433333333333,9,"You need to ask a relatively wealthy relative (it could be any relative) for some money. Formulate a story/message that is asking that relative what you need the money for, when you need it, why you need it, and how they should give it to you. ",Hello uncle Rob. How are you doing? I am fine myself. I was wondering if I could ask for a favor as I am in a tight spot right now. I am kind in a jam you know as I was in an accident as you know and have huge hospital bills that I cannot pay. If there was anyway you could help me out as I lost a lot of wages and went to the hospital for three days. Those hospital bills are not very freindly as they cost me $25000 dollars. Could you help me out this time and pay my hospital bills. I could also work for your company for a while and go to work as I lost a lot of wages. It would be a very big help. You could pay me less and that way I could pay your back by working for your company. I would really appreciate it.,"Hi mom,I know that I said I would give you a call when I got home last night, but unfortunately, I got into a bad car accident on the way home from work. There is a blind corner behind a bush at the exit of the parking lot, and when I was pulling out, a car came flying around the corner and smashed into the driver side of the car. I have been saying for years that they need to take that bush down, and hopefully they'll finally listen! I am in the hospital now recovering, but no need to worry! I was in bad condition when I first got in, but I'm doing ok at the moment save for a few broken bones. I should be able to recover fairly soon and come back home, and I promise I will give you a call as soon as I get a chance. Just wanted to let you know so you didn't worry too much. Love you and talk to you soon!","Hey man,I really hate to come to you with this kind of news. I know you told me to take care of your Porsche, and I hate to say it, but I did the exact opposite. I was passing an exit ramp on the highway, and some nut job didn't see me I guess and merged over into my lane. I tried to veer out of the way, but lost control and went off the road. Of course he took off, and I couldn't get his license plate number at the time or anything so we won't be able to get him to pay for it. I'm so sorry man, but I promise that I'll cover the cost of the damages. I can drop it off at the shop near my house later today, they usually have some good deals and can get the repairs done pretty quickly. I should be able to get your car to you next week and looking as good as new! Sorry again, and I promise I'll take care of it!","Good afternoon sir,I am terribly sorry that I am so behind in getting to the meeting today, but unfortunately, my daughter was in bad condition this morning and she fainted, and we had to rush her to the emergency room. I am here at the hospital with her now, but she is starting to come around and seems a lot better, so I will try to leave and get to the office as soon as possible. I know how important the meeting is today, and I would have certainly been there on time if it weren't a life or death situation on our hands here. I hope you can understand the severity of our situation and hope that my absence has not caused any issues that can't be fixed. I will be leaving shortly, so I promise that I will be there soon and will be able to give my part of the presentation.Thanks, and sorry again!",single_trial,0
3,27.56433333333333,0,You are a supervisor and you have to push back an important meeting with your supervisees. What happened and how do you tell them?,"Dear staff. It looks like we will have to reschedule the important meeting that you requested. I am not very well right now and I have to take off work. I also lost my voice yesterday as I have a cold and sore throat. It is very sad that we cant meet, but as you know I can't talk very well right now and I have a fever. It is better that I stay home in quarantine right now as I don't want to spread germs and there is a possibility that I have the corona virus but there is no test kits out their right now. I hope you understand the situation that we are in right now I dont want to get anyone else infected even if I dont have the cornoavirus. It is also important that you stay home if you have a fever or other corona virus symptoms as well.","Hi mom,Please don't worry about me. I know you haven't heard from me since yesterday and I'm going to explain to you why. Please just don't freak out about this! I'm writing you an e-mail because my voice is too shaky from the pain and stress I've been through today. Earlier today, on the way to work this morning, while on the freeway I slid into the median, where my car got out of control, and crashed into a tree. The roads were very slippery from the snow and hadn't been salted yet since it was so early in the morning, around 4am. Before you worry, I am okay and as far as we know, I don't have any brain damage, but I did have a broken leg from the accident. The doctors have said that I'm likely to make a full recovery, which is great news, because I almost died from the crash and they said I should be very thankful that more damage hasn't been done. I will call you later when I'm ready to talk. Love you, mom!","Hi mom,I'm emailing you from my college dorm right now, and I was just informed that my school tuition loan is on stand-by for right now. I inquired about it and it turns out that all I need is to give them my proof of income, which is in that savings account you made for me. Now, I just need to log in so I can show the financial administrator my bank statements. That is all I need now for my school loans to be approved. If you could just e-mail or text me, both the username and password on the savings account, that would be all I'd need. It is important that I get that information as soon as possible, so that I'll get my school loan as quick as possible. I missed the e-mail about my loan being on stand-by earlier last month, so it's very important that you send that info to me as soon as you see this! Thanks, mom. Love you!","To whomever it may concern,I'm selling my Samsung Galaxy S10+, which is in ""like new"" condition but with just a couple light scratches on the exterior. The actual phone works like new and is in excellent condition. If you are interested in buying the phone, please e-mail me. I take payment through Paypal or Venmo and will ship the phone as soon as the payment goes through. As I said, any damage on the phone is superficial only and it works great. Why pay $650 for a brand new phone when you could just buy mine for a lot less? I'm selling the phone for $400 or best offer, but if you want it, I would hurry because this is going to go quick! My phone number and e-mail are at the bottom of this e-mail and I'll be home all day today, so it's first come first serve!Thanks, happy buying!",single_trial,0
4,27.56433333333333,8,You borrowed your friend's favorite expensive car and you crashed it. It is now completely broken. How do you explain what happened? What do you do?,"Hi friend, How are you doing today. You know that Mercedes you let me borrow. It is a great car and  dream car to have. It ran pretty good for the time I was driving it. The only problem is that I kind of crashed it. As a matter of fact I crashed too well. You see  I was going to McDonald's the other day when on the way I drove through a green light on Golf Links and Kolb. while driving through the light someone else hit the car on the passenger side and totalled your car. I hope you are not mad at me as I just wanted some french fries. I am sorry your car is totalled and you will not be albe to drive it again. Maybe we could go to McDonald's together again sometime and eat some french fries and some Coke.","Hey Mom, How are things going? I need your help! I'm trying to upload some bank statements for my financial aid account and they are wanting to see yours, too. Do you remember that Parent Loan that you applied for? They are wanting to see bank statements related to that. I tried to log in myself so I could get it quicker - but I don't know your password. Would you mind letting me know what that is so I can get my account all settled? I don't know that I could wait to have you print it out and send to me - and I'm not sure if I know how to pull bank statements from an email. I promise I'm just going in to get those bank statements! I won't touch anything else, I swear! Please help me, Mom, I'm freaking out!Thank you!!!Daughter","Dear Boss, I know that the important meeting with the executives was scheduled for 9am this morning and I do apologize for being tardy to the meeting. Knowing that the meeting was at our downtown office, I stopped by the main office at 8:30am this morning to grab some last minute paperwork. While I was there, though, the electricity cut to the office. It immediately came back on - but it was clear that some of the internet capabilities did not immediately register back on. I had to call the Internet company and see what was going on. That took another 20 minutes. By the time I got that sorted out, got to the car, and drove the 10 minutes to the downtown office, the meeting had already begun. I apologize for the late arrival - but I couldn't let the main office go without Internet in the early day!Best, Employee","This tablet is being sold AS-IS for PARTS or REPAIR. The screen is shattered but it's still functional. All of the apps and features can still be accessed. I'm the only owner and I bought it new only a year ago. It's not on a contract and is pretty simple to use. The charging port works and I will include a clean case and original charger. BUT it will take about $300 to fully fix the screen. (That's the quote given by Local Repair Shop.) My loss is your gain! The tablet itself can be yours for only $50. So if you pay for the repair, that's $350 total - when the tablet NEW runs for $1200, that's a pretty good deal. No refunds, no returns, you are buying as-is. I will bring the device charged so that you can try it before you buy.",single_trial,0
5,6.348983333333333,4,You borrowed your friend's favorite expensive car and you crashed it. It is now completely broken. How do you explain what happened? What do you do?,At least Id hope she would. Shes pretty nice and I let her into my accounts sometimes if she really wanted me to. She is my mom so she already knows literally everything about me. And shes not a very private person. so I dont see why she would say no. She trusts me. She raised me right so she knows I wouldnt do anything devious or mischevious. I believe with that AI can easily get acess to her accounts . but I guess it would depened on the specific acccount it is. However I do believe no account would be really too much at least I hope it wont be to be honest. Anything to get it sold and get the money I need. I will be needing about eight thousand. I will need it for a car I've been wanting to buy so I will not be reliant on uber. You know how expensive that can be so eight thousand would help a bunch! I'd be greatful from the very bottom of my heart If i can get it. And I promise to pay you back. Id honestly Need it by sunday and you can transfer it into my bank account.,I'd just tell her straight up I need the password to it. Me and my mom are close. Im sure she will give it to me if i explain my reasoning for it. At least Id hope she would. Shes pretty nice and I let her into my accounts sometimes if she really wanted me to. She is my mom so she already knows literally everything about me. And shes not a very private person.  so I dont see why she would say no. She trusts me. She raised me right so she knows I wouldnt do anything devious or mischevious.  I believe with that AI can easily get acess to her accounts . but I guess it would depened on the specific acccount it is. However I do believe no account would be really too much at least I hope it wont be to be honest.,Hello My relative. I would like to request some money from you if thats ok? I will be needing about eight thousand. I will need it for a car I've been wanting to buy so I will not be reliant on uber. You know how expensive that can be so eight thousand would help a bunch! I'd be greatful from the very bottom of my heart If i can get it. And I promise to pay you back. Id honestly Need it by sunday and you can transfer it into my bank account. Just message me for my details if you decide to help me out. I am looking forward to seeing you again at christmas time. I know we will have such a fun time with everyone there. If it is more convenient for you can give it to me then though! Thanks for reading my message!,Id just go to a pawn shop and see what i can get for it. If not much then id make a craig list add for it and make an honest  description and see  what i am able to get from it with that. If not much then Id lie a bit and spruce up the description and sell it for a bit more money through that. Anything to get it sold and get the money I need.  I would then mail it off to them wherever they would live and Hopefully they wont notice how broken it is for a while then I could block their number/email whatevger they used to contact me through and stuff. I would then do whatever I needed to do with the money. After it is sold Id be happy to have gotten rid of it completely and be happy my plan had worked even if its evil.,single_trial,1
6,6.348983333333333,0,You have gotten into an accident that was nearly fatal. Explain to your mother what/when/where/how/why you got into that accident. ,"To whomever it may concern,I'm selling my Samsung Galaxy S10+, which is in ""like new"" condition but with just a couple light scratches on the exterior. The actual phone works like new and is in excellent condition. If you are interested in buying the phone, please e-mail me. I take payment through Paypal or Venmo and will ship the phone as soon as the payment goes through. As I said, any damage on the phone is superficial only and it works great. Why pay $650 for a brand new phone when you could just buy mine for a lot less? I'm selling the phone for $400 or best offer, but if you want it, I would hurry because this is going to go quick! My phone number and e-mail are at the bottom of this e-mail and I'll be home all day today, so it's first come first serve!Thanks, happy buying! Hello Aunt Sharon,How are you doing? I'm so sorry that it's been so long since we've talked. Let's catch up on the phone soon. Now, the reason I haven't been in touch is because I've had a hard time with my financial situation, and unfortunately might have to quit college. You know how I had that sales manager job? Well, they went out of business so now I'm out of the job, and I haven't been able to find a new one yet.","To whomever it may concern,I'm selling my Samsung Galaxy S10+, which is in ""like new"" condition but with just a couple light scratches on the exterior. The actual phone works like new and is in excellent condition. If you are interested in buying the phone, please e-mail me. I take payment through Paypal or Venmo and will ship the phone as soon as the payment goes through. As I said, any damage on the phone is superficial only and it works great. Why pay $650 for a brand new phone when you could just buy mine for a lot less? I'm selling the phone for $400 or best offer, but if you want it, I would hurry because this is going to go quick! My phone number and e-mail are at the bottom of this e-mail and I'll be home all day today, so it's first come first serve!Thanks, happy buying!","Hello Aunt Sharon,How are you doing? I'm so sorry that it's been so long since we've talked. Let's catch up on the phone soon. Now, the reason I haven't been in touch is because I've had a hard time with my financial situation, and unfortunately might have to quit college. You know how I had that sales manager job? Well, they went out of business so now I'm out of the job, and I haven't been able to find a new one yet. I would be so disappointed in myself if I had to quit college, especially because you know my dream is to be a vet tech. I can't continue paying my rent here if I don't come up with some money soon. If you could lend me about $500, it would mean the world to me because I'd have another month to look for a job, and I wouldn't have to quit college! If you can, just send it to my Paypal email. Thanks so much for reading this and I hope you'll consider loaning me the money. Love you Aunt Sharon!","Hi mom,I'm emailing you from my college dorm right now, and I was just informed that my school tuition loan is on stand-by for right now. I inquired about it and it turns out that all I need is to give them my proof of income, which is in that savings account you made for me. Now, I just need to log in so I can show the financial administrator my bank statements. That is all I need now for my school loans to be approved. If you could just e-mail or text me, both the username and password on the savings account, that would be all I'd need. It is important that I get that information as soon as possible, so that I'll get my school loan as quick as possible. I missed the e-mail about my loan being on stand-by earlier last month, so it's very important that you send that info to me as soon as you see this! Thanks, mom. Love you!",single_trial,1
7,6.348983333333333,1,"You need to ask a relatively wealthy relative (it could be any relative) for some money. Formulate a story/message that is asking that relative what you need the money for, when you need it, why you need it, and how they should give it to you. ","I have an iPad Pro that was top of the line when I bought it a year ago and remains in extremely good shape and ready for a new home. It has the highest available processor, and the speed and screen size remain unmatched in the market today even though it is a year later. My loss is your gain as I have reduced the price to market value for a slightly lesser model, in an effort to offload this as soon as possible to cover some outstanding bills. I am extremely motivated to sell, please feel free to send all reasonable offers I need to get the cash as soon as possible. Hi all, my deepest apologies for the late notice but it has come to my attention that I will need to push back our team meeting this afternoon. I understand that the way I framed the meeting represented the importance to both myself and the company, and rest assured it is still imperative that we have a team discussion to walk through the topics in the agenda. That said, there is unfortunately an unforeseen emergency that requires my attention prior to me being able to attend the meeting with the team. I hope to be able to reschedule the meeting in the next day or two, however it is pending my ability to remedy the issue at hand. Thank you for your patience and continued hard work as I work through this issue.","I have recently fallen on hard times and unfortunately am being forced to sell my favorite tablet in order to help cover living expenses. I have an iPad Pro that was top of the line when I bought it a year ago and remains in extremely good shape and ready for a new home. It has the highest available processor, and the speed and screen size remain unmatched in the market today even though it is a year later. My loss is your gain as I have reduced the price to market value for a slightly lesser model, in an effort to offload this as soon as possible to cover some outstanding bills. I am extremely motivated to sell, please feel free to send all reasonable offers I need to get the cash as soon as possible.","Hi all, my deepest apologies for the late notice but it has come to my attention that I will need to push back our team meeting this afternoon. I understand that the way I framed the meeting represented the importance to both myself and the company, and rest assured it is still imperative that we have a team discussion to walk through the topics in the agenda. That said, there is unfortunately an unforeseen emergency that requires my attention prior to me being able to attend the meeting with the team. I hope to be able to reschedule the meeting in the next day or two, however it is pending my ability to remedy the issue at hand. Thank you for your patience and continued hard work as I work through this issue.","First of all, I don't even know where to start. I will start with my insurance will cover any damages in full, if the party at fault does not have the insurance to cover the accident. With that said, it is my firm belief that the damages are solely their fault in full and the accident investigation will support my belief. I understand this car was your first big purchase after you were promoted and it has substantial sentimental value for you, and for that I am extremely sorry. I was extremely cautious when parking it, and parked away from the rest of the cars in the lot, but unfortunately that meant that cars were passing by it at a faster speed and the car that clipped you was going faster than otherwise. I will make sure that all damages are covered and we are good to go!",single_trial,1
8,6.348983333333333,6,You need your mom's password to access an important account that you have under her name. What is your plan to convince her to give you her password?,"Before we go on, yes, I'm not in great shape, I was in a car accident. I was on the highway at night, a drunk driver came out of NOWHERE and smashed into me. He sideswiped me good, the Kia Optima is totaled, and I'm still recovering from the damage it did to me. Thankfully, there were some good folks around who called the police, checked on me, made sure I was alright, one of them even stayed at the hospital until Dad got here just so I wasn't alone. It was a near miss, and I don't want to scare you, but I always try to be honest, things could have ended a lot worse. I'm going to be holed up at Holy Name Hospital a few days, I can explain a little better in person, but this was the simplest, fastest way to let you know since you never answer your phone. I love you, I'm safe, I'm going to be ok. Hey Aunt Esme. I'm sorry to do this via email, but I haven't been able to reach your phone, and I know your business email gets checked hourly. I hate to ask ANYONE for money, but especially you after everything you've done for our family. But, Dad fell down and hurt himself pretty bad at work, the insurance won't cover the surgery needed to fix his back. It's an emergency situation, and they said that they need to do it immediately to prevent permanent damage to him.","Hello there co-workers and friends!  I'm sorry this is short notice, I know we had a meeting today in the green room at 6:00 PM.  I unfortunately had some personal things come up and need to cancel.  Your time is very valuable to me, and I only do this because there is absolutely no other option I have here.  I'm going to look to reschedule it until 7:30 PM.  That should give me enough time to wrap up what just came up and get back here to talk to you about the harassment claims going on in this company.  I am taking this issue incredibly serious, and I am setting aside as much time as possible to deal with it when I return, you will have my ear until you feel your concerns have been heard.  We take this very seriously, and we will do everything we can to address it, I just hope you aren't too upset I need to push it back.","Hi Mom.  Well, I know you get very upset when something bad happens to me out of my control, so I'm going to tell you some bad news right now.  Before we go on, yes, I'm not in great shape, I was in a car accident.  I was on the highway at night, a drunk driver came out of NOWHERE and smashed into me.  He sideswiped me good, the Kia Optima is totaled, and I'm still recovering from the damage it did to me.  Thankfully, there were some good folks around who called the police, checked on me, made sure I was alright, one of them even stayed at the hospital until Dad got here just so I wasn't alone.  It was a near miss, and I don't want to scare you, but I always try to be honest, things could have ended a lot worse.  I'm going to be holed up at Holy Name Hospital a few days, I can explain a little better in person, but this was the simplest, fastest way to let you know since you never answer your phone.  I love you, I'm safe, I'm going to be ok.","Hey Aunt Esme.  I'm sorry to do this via email, but I haven't been able to reach your phone, and I know your business email gets checked hourly.  I hate to ask ANYONE for money, but especially you after everything you've done for our family.  But, Dad fell down and hurt himself pretty bad at work, the insurance won't cover the surgery needed to fix his back.  It's an emergency situation, and they said that they need to do it immediately to prevent permanent damage to him. I have already raised a good portion of the money from my own bank account, and friends, but we're still short $3,000.  The doctor will not start the surgery without it.  If at all possible, you have my venmo, please Aunt Esme!  I'll do everything in my power to pay it back to you as soon as possible, but this is about my dad's future.  I need your help.Love,Your Nephew.",single_trial,1
9,6.348983333333333,8,You are a supervisor and you have to push back an important meeting with your supervisees. What happened and how do you tell them?,". I had some great finds - including a small dining room table, which I packed safely in the back of the Flex. Unfortunately, I wasn't able to see well out of the back window with the furniture piled high...and I backed it right into a concrete pole in the middle of the parking lot. The Flex...is ruined, so ruined. I'm going to give you my insurance info but I know I'm going to be severely paying for it. I don't know if you'll ever trust me again, but I sure hope you'll let me make things right. I'm so sorry. Friend Hey Mom, How are things going? I need your help! I'm trying to upload some bank statements for my financial aid account and they are wanting to see yours, too. Do you remember that Parent Loan that you applied for? They are wanting to see bank statements related to that. I tried to log in myself so I could get it quicker - but I don't know your password. Would you mind letting me know what that is so I can get my account all settled? I don't know that I could wait to have you print it out and send to me - and I'm not sure if I know how to pull bank statements from an","Hi Aunt Katherine, How have things been going? I'm sorry to write this letter in these circumstances but I'm not sure who else to turn to at this point. Daniel has gotten kicked out of daycare! The teachers said that he was misbehaving too much and too often for him to stay. And now, the only daycare with immediate openings wants a $500 deposit...and that's just too much for my husband and I to afford right now. Would you be able to help us out? I promise we'll pay it back as soon as we can. We just didn't foresee this happening! If you could send it through a check in the mail as soon as possible, that'd be preferred. I'm so sorry to bother you about this - we just don't know where to turn! Feel free to say no, I'd completely understand!Best, Your Niece","Hey Chris, Sorry to bother you but something big has happened - something you'll probably hate me for. You know that really nice Ford Flex you have? Well, I've always been jealous of it and I asked your girlfriend if I could borrow it to do some rummage sale shopping on Saturday. I had some great finds - including a small dining room table, which I packed safely in the back of the Flex. Unfortunately, I wasn't able to see well out of the back window with the furniture piled high...and I backed it right into a concrete pole in the middle of the parking lot. The Flex...is ruined, so ruined. I'm going to give you my insurance info but I know I'm going to be severely paying for it. I don't know if you'll ever trust me again, but I sure hope you'll let me make things right. I'm so sorry. Friend","Hey Mom, How are things going? I need your help! I'm trying to upload some bank statements for my financial aid account and they are wanting to see yours, too. Do you remember that Parent Loan that you applied for? They are wanting to see bank statements related to that. I tried to log in myself so I could get it quicker - but I don't know your password. Would you mind letting me know what that is so I can get my account all settled? I don't know that I could wait to have you print it out and send to me - and I'm not sure if I know how to pull bank statements from an email. I promise I'm just going in to get those bank statements! I won't touch anything else, I swear! Please help me, Mom, I'm freaking out!Thank you!!!Daughter",single_trial,1
