,sample,imitator,intended author,type
0,"Hey buddy! How are you, I hope you are cool? Last night after I borrowed your car, I went to a late night party which was few streets away. On my way back I got hit by a truck driver from behind who was apparently sleeping while driving. Due to this unfortunate incident your car got seriously damaged and I sustained a major injury on my forehead. I am very sorry I had to wreck your car because I know how valuable and expensive the car cost. I am actually at the hospital presently waiting to be discharged by the doctor after a major surgery was conducted on my forehead. I am waiting for my mom or my dad to  come clear the bills and take me home after I have been discharged. I intend to go fix your car at any automobile shop with good reputation after I leave the hospital. Thank you for your understanding and I hope to see you soon.",0,4,email
1,"Hi mom! I am sorry I haven't been able to reach out for a while, it was due to the fact that I was hospitalized for several days. I was involved in an accident which a;almost took my life four days back. The accident occurred on my way back from school, I was walking home on the pedestrian lane when suddenly a driver lost control of his vehicle due to break failure and then ran me over from behind. The accident occurred just few blocks from the school gate. I immediately lost consciousness because of the impact of the accident and also shock. I woke up after about 16 hours in the hospital where I was receiving treatment. I only got discharged yesterday and I am currently at home now though still on medications for some weeks.",0,0,email
2,"Hi uncle! How are you and the family, I hope you all are doing good? I am currently in need of an assistance from you. I am currently out of cash and so I need you to send me some money to use cater for myself in school. Also, I will be needing the money to pay for some departmental practicals I am to participate next week. The practical is compulsory and so I need to make the payment before next week. I also intend to buy some textbooks to read and prepare for my final semester exams. Please I will be very appreciative if you can send me the money on or before Friday this week to enable me make the payment upfront for the practicals and buy the needed textbooks for my exams. I look forward to receive a favorable response from you. Thank you",0,1,email
3,Hello mummy! Please i will be needing the password to the school website account you created om my behalf. I need to access the account and get some vital information as regards my education but I can't login because I don't have the password to the account. I know as part of school protocols I am not supposed to have access to the account for now but please it is very important that I gain access into the account and get the information I need. After I am done with the account this once you can decide to change the account password to any other just to lock me out of the account. But please for now the information I seek is very vital and its available in my school educational account. Thank you for understanding.,0,6,email
4,"Dear Colleagues, its with great regret that I announce that the supposed meeting scheduled to hold today has been postponed till tomorrow. I am currently in the hospital receiving treatment after I suffered from food poisoning this morning. I was actually on my way to the office when suddenly my stomach began to ache me and then I was pressed. I rushed back home to use the convenience when I noticed I was stooling. Then few minutes later I started vomiting,so I had to rush to the hospital to get myself treated. After running some tests, the doctor told me I was suffering from food poisoning which was caused by a rear strain of bacterium and so advised I remain in the hospital for some hours to receive treatment. Thank you.",0,8,email
5,Good day everyone. I hope you all are good and great. First I really want to apologize for my sloppiness and being extremely late for this very important meeting but I completely take responsibility for this not that I am blaming anything or anyone but myself. Things got out of hand and so there was no possible way for me to handle it than the way I did. I am deeply sorry and truly beg your pardon to explain myself and with a heart of consideration you look into my explanation be merciful on me. Truly from the depth of my heart I am sorry for the set back from my end. Here was how it went. When I woke up having set my alarm and everything was in place my son all of a sudden a serious headache which I didnt want to self medicate and wait for later but rather take him straight to the hospital due to my family medical history. There have been cases of headaches which later led to death and this made it paramount that I took my child to go see a doctor. I hope you consider my above explanation and I promised never to be a set back in such a way again.,1,4,email
6,First I will not be thinking of selling it online but rather offline and a hand to hand business deal. I will be quite patient and see through for someone who is desperate for a phone and market the phone as their alternative even with it unsatisfactory state to some extent and try and convince them with sweet talks but not sounding too desperate to cut the deal so I can gain some ground. Having done that if it taking too long I will result to a online deal and try go to a second hand website for used device and with that I believe everyone knows that a used device have a tendency of having issue in the long run of a sort. With the above I believe this should do and also I will make to pray for a deal to come my way.,1,9,email
7,"I am very sorry but will have to push back back the suppose meeting I am very sorry once again but this is the final resort from my end If I wouldn't want to disappoint come the time for the meeting I understand how important the meeting is but that right now I just came across a difficulty which is out of my control. Around 3pm I was called my child's school concerning his health and I needed to be there and Having gone there and took him to the hospital unfortunately he had to be admitted and the matter seem serious than anticipated and I have to sleep over to take of my child. I am a single parent and this is of urgent attention. I hope you understand, Thank you. With the above kindly comply and let the meeting be shifted. Thanks.",1,3,email
8,"Hi Uncle, I am really in a deep piece of mess at the moment uncle as I got robbed and now in a mess not of carelessness but misfortune. While I was away from home to school my room at the hostel was burgurged and most of my valuables was taken away and now I have to arrange to get most of my stuff all new and afresh in fact they had the gut to take television and also my laptop. I take only iphone and ipad to class. and now I left with literally nothing. I have already gone to the authorities and report the case yet no response and it been 2 weeks I am not comfortable at all and so I had to reach out. At this very moment i need all the help I can get to be standing again. 
Uncle I need about $45,000 to replace my stuffs. I hope this isn't too much. will be deeply grateful if you sent it to via paypal. Thank you so much Love you.",1,6,email
9,Well I will first try and reach first And sweet talk into how much i care and love and seek to make her proud by hard work and not letting and investments on me being a waste and also further promises to put her in the mood I want. Having done the above I will further try and make a atmosphere of concern by asking about other members of the family and their well being and later talk of her being and also businesses that have ties to the suppose account I need access . When she is fully in the mood of talking about thing pertaining the business and how long she has been running the account I will just switch into having access into the account not alarm her or seem desperate about the account details.,1,1,email
