,sample,imitator,intended author,type
0,"Wanda, Can you believe winter is finally here? I absolutely love winter time. The holidays are just amazing, especially Christmas. I actually like the snow too. I am hoping we get a lot of snow this year! I plan to build a huge snow fort - the biggest anyone has ever seen. I'll have to get in touch with Guiness to be sure I set the world record.",imitator1,participant 1,email
1,"The only way of finding out why your partner doesn’t want to travel is by talking about travel a lot. Sometimes it may be as simple as the cost, which your partner may find prohibitive. But he or she may never say so in open for fear of being judged.\nThis happens often when you aren’t married. At this stage the financial status is still hidden, often.\nIf you think your partner is worried about the finances, speak to them. Explore travel desires that won’t burn a hole in the pocket. Show your spouse traveling options with discounts and offers on tour packages.\nIf cost is the reason, you both need to discuss it in open. Only then you will have any chance of prevailing over your partner and convincing him or her to go on a holiday. For cheap holiday packages check out Expedia, Thomas Cook, Last Minute, Cox and Kings etc.",imitator2,participant 1,email
2,"I love reading murder mysteries and your latest book had me caught up in the story line. I can't believe I read your last book within a day. When your next book is published, I will be the first one to buy it or either scour for it at the library. Keep up the great work and the awesome talent you have.",imitator3,participant 3,email
3,"there was a little tussle between spring and fall, i did not know which i would prefer.both these seasons have more reasonable temperatures. \nsummer is just boring too hot and 100% humidity and winter, winter is just too cold! i think fall takes though.its the best season of all. i love it! its my favorite ",imitator4,participant 2,email
4,"I'd like a barbecue with my family and some friends for my birthday. You can bring my favorite dessert if you want. That is all you would need to get for a present. It would go good with the meal and I wouldn't want anything more. You don't have to bring a gift, just a dessert. You only have to bring my favorite dessert if you want.",imitator5,participant 3,email
5,Hi Sarah. Congratulations on becoming President. I always knew you could do it. I am so proud that you are our country's first woman in the Oval Office. I know you will lead our country to new heights of greatness. I can't wait until you make sure all Americans have access to affordable health care.,imitator6,participant 1,email
6,Hi Emily. Congratulations on this great milestone of making the Olympic team. I know that this goal is a result of the dedication and effort you made every day with figure skating. I am so proud that you accomplished your goal and that you will be representing us and I will be there rooting for you.,imitator7,participant 1,email
7,"You know, I would love to have a barbecue with the family and friends this year. That would be awesome, I'd love that so much! Oh, you know...could you bring my favorite dessert? That would be the best present you could give me! You know how much I love it! And it would rock at the barbecue! For sure!",imitator8,participant 3,email
8,"Hi Kaitlyn. I cannot believe it is already June. I love the summer most of all. It is my favorite. I love going to the beach and feeling the sun on my face. I hope we have a long and warm summer. I can't wait to take my dog to the beach and play frisbee there. I may even enter him into a contest, summer is so fun.",imitator9,participant 1,email
9,Hey Cam. I can't wait until summer arrives. It's my absolute favorite season. I Love the blue sky and hot beaches. I love the sounds of the street vendors and barking dogs. Best of all its warm and sunny. I can feel the suns warm rays on me right now. I am so ready for it to get here. Winter Sucks. ,imitator10,participant 1,email
10,Greetings Jane.  I know it has been a goal of yours to be a superhero. Let me be the first to congratulate you on your acceptance into the Avengers. Enjoy your time defending Earth from evil alongside the best of the best of heroes. Congratulations again!. Make us proud. We will be rooting for you. ,imitator11,participant 1,email
11,"Hi. I've been thinking about it, and for my birthday what I'd really like this year is to host a barbecue for my friends and family. No gift is necessary, but if you wouldn't mind bringing me my favorite dessert I'd really love it. The best thing I could get for my birthday would be spending time with my friends and family and enjoying a great meal.",imitator12,participant 3,email
12,"Once fall hits, everyone loves to bake, eat soup, drink hot chocolate, etc. You're loving the small chill and getting yourself into the feeling for winter, so you stop caring a little bit. During the summer it's too hot to cook, plus a lot of delicious fruits and veggies are in season. I want cool things when I'm hot. Salad, fruit, sandwiches, something light and fresh. You also drink a lot more water in the summer, which we all know you're supposed to drink a pretty hefty amount everyday year round. However, as my mom put it to me earlier, the minute it gets a little cold or the pants/sweaters come out, you sort of don't care to an extent. You want cookies, pumpkin spice everything, etc. We even have an apple orchard that makes literally the best doughnuts I've ever had and you can bet I'm going to stock up on those babies. So your body starts taking a bit of a toll, and only getting worse as winter hits. There's a reason we all worry about our \",imitator13,participant 2,email
13,"Well, I think if we can help Wilma get the debtasuruses off our backs the raise will be a slam dunk. MR. Slate can't say no if we are amazing.",imitator14,participant 2,tweet
14,I've done some dumb things and gone down the wrong path more then once but you guys have always been there with waiting arms. Thank you!,imitator14,participant 2,tweet
15,I would argue even that it is the best scene ever made! Let me know when you get a chance to see it I want to talk about it.,imitator14,participant 2,tweet
16,"I'm touched you took the time to make it for me, and for remembering I love made gifts more then bought ones. You always rock!",imitator14,participant 3,tweet
17,"You're pushing, and sometimes dragging me, support has made all the difference in my life and I can never repay that, Thank you!",imitator14,participant 1,tweet
18,"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.",imitator14,participant 1,tweet
19,"I think if you let me help Elroy out a bit and show that I can get him to turn around, I feel that will justify the raise. ",imitator14,participant 2,tweet
20,"\nYou're pushing, and sometimes dragging me, support has made all the difference in my life and I can never repay that, Thank you!",imitator14,participant 1,tweet
21,"Mr. Slate, I will happily take care of this debtasauruses issue and get it off all of our backs. Afterwards I would like to talk about a raise. ",imitator14,participant 2,tweet
22,"\nYou're pushing, and sometimes dragging me, support has made all the difference in my life and I can never repay that, Thank you!",imitator14,participant 2,tweet
23,Mister slate.. Wilma needs  more money she is in a lot of debt and money would help her very much she definitely needs a raise.\n,imitator15,participant 2,tweet
24,Amber got fired because she was stealing from work everyone knows that you are not supposed to steal from work and that's why she got fired as deserved.\n,imitator15,participant 1,tweet
25,Hi Mom and Dad thank you for all the love and support you have given me over the years.  thank you for all the love and support you have given me over the years I appreciate it.\n,imitator15,participant 1,tweet
26,Hi Mom and Dad thank you you have been supportive for any decision any positive decisions I've made in my life and I appreciate you thank you\n,imitator15,participant 1,tweet
27,Hi I just got the package thank you it has its own place for the fireplace I really appreciate it thank you very very much.\n,imitator15,participant 2,tweet
28,I just got your package you sent it had his own place over my fireplace I really appreciate it I can't wait to show you. I think you will love it just as much as I do.\n,imitator15,participant 2,tweet
29,Mr slate. Wilma is in debt. She really needs to raise it would help her out a lot and the situation she is in one of my definitely need needs a raise.\n,imitator15,participant 2,tweet
30,The Afghan period was very nice thank you. I really like it a lot. You are a very good person thank you for the Afghan again thank you you are kind\n,imitator15,participant 3,tweet
31,Carnations are my favorite flowers I really appreciate the flowers thank you I love carnation flowers they stay fresh for many days thank you.\n,imitator15,participant 3,tweet
32,Hi Jackie. I have to change plans with you .I won't be able to go with you this weekend. The circus is in town and I feel strangely ,imitator15,participant 1,tweet
33,I have just received your gift!  You remembered and I love it so and will put it above my fireplace!!!,imitator16,participant 2,tweet
34,"Mr. Spacely I would like to to acknowledge the trouble with Elroy and wish for a raise from you, please?",imitator16,participant 2,tweet
35,"The very best part of the movie is at the very end, you will love it!  It is so interesting and strange.",imitator16,participant 2,tweet
36,"Hello Victoria, this has been one bad day.  I was late for work, boss almost died and I was scarred to death.",imitator16,participant 1,tweet
37,Hey Bill I am gonna be late for the meeting today my mother has been in an accident and I will have to take care of that.,imitator16,participant 1,tweet
38,I hope to be paid greatly in five years time.  This is gonna be great when I begin working with the malpractice claims.,imitator16,participant 1,tweet
39,"Hey Jackie, I will need to cancel this weekend there is a circus this weekend and I must attend!!!!!!!",imitator16,participant 1,tweet
40,"I was so impressed with the New Yorkians and there ways, especially the foods that they eat since they are quite delicious.",imitator16,participant 1,tweet
41,I was so loving on these people from New York they are great and also they have amazing food for eating and it is good.,imitator16,participant 1,tweet
42,I wanted to message you and say thanks for these flowers they are carnation and I love them and they are so fresh!,imitator16,participant 1,tweet
43,Thanks mom and dad for all of the love and support. I wouldn't be where I am in life right now without you,imitator17,participant 1,tweet
44,I was amazed and in awe of the foots and culture of New York. They eat way different food from us which was interesting,imitator17,participant 1,tweet
45,"Victoria, I am having a terrible day where I was first late to work and then saw my boss have a stroke. It's terrifying.",imitator17,participant 1,tweet
46,"Mr Slate, I have a problem and I really need a raise. Is there anyway that we can make this happen at all?",imitator17,participant 2,tweet
47,"Mom and Dad, thanks for all the love and support that you provided me through all the years. I wouldn't be where I am without you",imitator17,participant 1,tweet
48,"Bill, I need a raise because my mom was crushed by a steamroller and I have to go to the morgue to identify her body",imitator17,participant 1,tweet
49,I was really amazed at the different culture of people from New York. They eat totally different foods - it's so interesting,imitator17,participant 1,tweet
50,Hi Amber. I am having such a miserable day. I got fired for stealing from work. I can't believe they finally caught me.,imitator17,participant 1,tweet
51,"Mr Spacely, you know how Elroy got into that trouble? I hate to do this, but I really could use a raise to keep him out.",imitator17,participant 2,tweet
52,"The best scene is the one at the very end -- you'll know it when you see it... Slow-motion, great song, absurd situation.",imitator17,participant 2,tweet
53,Honey your so welcome. We love you so much and are so blessed you're our baby. What would do without you. You are our angelbaby.,imitator18,participant 1,tweet
54,"We love you so much, your such an angel. We'll always be here for you. We'll stand beside you because we love. you.",imitator18,participant 2,tweet
55,You are the best we're right here for you and always will be. We love you and will stand beside you thru thick and thin.,imitator18,participant 2,tweet
56,Your so very welcome. I hope it keeps you warm in the days that come. You are such a blessign to me. I love you my friend.,imitator18,participant 3,tweet
57,Oh friend your so welcome. You're such a blessing to me. I love you and you've right there for me thru everything you know,imitator18,participant 2,tweet
58,We love you honey so much. We'll be here for you thru everything. Love you so much keep going in your education we here.,imitator18,participant 2,tweet
59,"You're welcome, love you so much, lllllll, we'll stand by you for what you need. Here forever, love you angel baby.......",imitator18,participant 1,tweet
60,The afghan is beautiful! you do such goood work. I don't know what I'd do without you. Youre such a blessing to me take care,imitator18,participant 3,tweet
61,"Thank you so much the afghan it's beautiful, You do such good work. Your'such a blessing to me don't ever change. I love you",imitator18,participant 3,tweet
62,"You've done a great job, i'm happy to offer you a raise of 10percent. Will that meet your needs? I hope so please let me know",imitator18,participant 2,tweet
63,"Son, you are very welcome.  We thought your wife would really enjoy them in your house.  Did not think our house quite fit with them.",imitator19,participant 2,tweet
64,You are very welcome.  We did the best we could in every situation we had with you.  I pray you learned every lesson we could teach.,imitator19,participant 2,tweet
65,"Really?  You realize how loud those things are, right?  We never would have allowed you to play them at home unless we also bought a soundproof room.",imitator19,participant 2,tweet
66,"We aim to please.  Although we did not want them in our house, we were happy to get them for you now that you are out of the house.",imitator19,participant 2,tweet
67,"This response does not seem appropriate for your boss.  If you really want to receive a raise, maybe you should actually describe why you deserve one.",imitator19,participant 1,tweet
68,"I am sure you do.  It is a great movie, though, I suspect you did not get loose watching the movie, more like you lost track of time.",imitator19,participant 1,tweet
69,"Sorry, you still have not sold enough sprockets over the past year to justify an increase in pay.  Control your son!",imitator19,participant 2,tweet
70,I am sorry to hear about the death of your Mother.  Do you know where the funeral parlor is so I can send some flowers?,imitator19,participant 1,tweet
71,It is our mistakes and what we learn from them that ultimately define us.  We know you learned well from each mistake you made.,imitator19,participant 2,tweet
72,"That may be true, but will you actually enjoy making money off the backs of people who did the best they could in difficult situations?",imitator19,participant 1,tweet
73,my favorite movie is its all about mary i can watch that movie a hundred times and never get sick of it,imitator20,participant 2,tweet
74,new york was very awesome there is a lot to take in and i mean the food is the best that ive had in a long time,imitator20,participant 2,tweet
75,my all time favorite movie is what i hate about you i have watched this movie so many times and i never get sick of it,imitator20,participant 2,tweet
76,mom and dad i love my new car thanks so much i really needed a new one and now i have one i love it its great,imitator20,participant 2,tweet
77,new york was great its a very busy city but the culture is amazing and one of a kind you will never get bored,imitator20,participant 2,tweet
78,i see myself happily married with maybe another kid i dont know though my clock is ticking really hard so ,imitator20,participant 1,tweet
79,you are the best i love my gift you know me so well and know exactly what i like thanks again for the best present ever,imitator20,participant 2,tweet
80,i dont really know i just hope i am happy and spending lots of time with my family and making good money ,imitator20,participant 1,tweet
81,new york is a great city the culture and the food is amazing nothing that i every expierenced before you would love it,imitator20,participant 1,tweet
82,mom and dad thanks for all that you do for me you are amazing parents who have always had my back no matter waht,imitator20,participant 2,tweet
83,So the circus came to town and I really want to go...don't know why. So I can't do this weekend...sorry. Another time maybe. ,imitator21,participant 1,tweet
84,Bad news..Mom is dead. Strange thing is there's nothing left to identify her but I have to anyways. Ever get run over by a streamroller?,imitator21,participant 1,tweet
85,New York takes some getting used to. Weird foods not even sure what your're eating cause. Lot of street vendors. How healthy is that. ,imitator21,participant 1,tweet
86,Forest Gump is so heartwarming. You just want to take him home and care for him. He never grows up.And we don't want him to.  ,imitator21,participant 1,tweet
87,"The end of this movie will surprise you so don't leave before it's over..you will be sorry. A real unexpected switch up,",imitator21,participant 2,tweet
88,My mother had an accident today. She was driving a steamroller and fell out and it rolled over her. Gotta go look at her squished body...sorry I will be late for meeting. ,imitator21,participant 1,tweet
89,Not a good day Victoria. Talk about bad luck. I had to witness my boss have a stroke...probably cause I was late to work again. ,imitator21,participant 1,tweet
90,I always wanted to be a clown and the circus has an opening for one. It is in town so I won't be going with you this weekend...,imitator21,participant 1,tweet
91,You love me for who I am and I can't think of any other individuals who would put up with me. thank you. ,imitator21,participant 2,tweet
92,You love me for who I am and I can't think of any other individuals who would put up with me. Thank you for everything. ,imitator21,participant 2,tweet
93,"Beth, I love that movie, too. I just watched that again 2 weeks ago. There are some great lessons in that movie.",imitator22,participant 1,tweet
94,You are so welcome. Let's get together for a birthday lunch soon. How does your schedule look for next week?,imitator22,participant 1,tweet
95,I am so sorry about Elroy's troubles. Let's schedule a meeting for next week to talk about a raise.  How is Wednesday?,imitator22,participant 2,tweet
96,Okay. Let me look at your HR records. Let's meet in a couple of days and talk about what we can do to help you out.,imitator22,participant 2,tweet
