,sample,imitator,type
0,"I have had the absolute worst day. You seriously would not even believe. I woke up late, but not because the kids slept in. They had shut my alarm off!! Then, I found them in the kitchen getting into the peanut butter!!! Ugh! I got the all cleaned up and off to school. Then I remembered I had an appointment this morning, which I'd missed. I had to reschedule. That was all before noon. Seriously, can it get any worse??? Hopefully you're having a much better day than I am!",imitator1,email
1,"I hope to be in nursing school in 5 years. I hope to be close to finally earning my degree. My kids will all be in school. I will be doing great in school, helping my children be the best they can be, and working towards a better life for my family.",imitator1,email
2,"The books you have written go so much further than just books. You have created an environment, an entire world, a whole generation! Your books were amazing when I read them. I imagine them to be even better when I one day share them with my children. I cannot wait to see the magic come alive in my children's eyes.",imitator1,email
3,"Today is a very hectic day. The baby has been up all night vomiting, and I think I may have to take her to the doctor this afternoon. I really don't think I can get away even for a moment with all this going on. If I can't get her to keep some fluids down soon, we may be looking at a visit to the hospital. I am so sorry to have to cancel last minute like this. Let's reschedule for lunch next week, my treat!",imitator1,email
4,"I have considered the future a lot. My husband and I have discussed having another baby within the next few years. If this happens, I see myself about where I am now. I will continue to be a stay at home mom, doing my best to shape these beautiful children into wonderful little people. I hope to continue doing my best by these little humans.",imitator1,email
5,"During days like today, it’s important to know that you’re not alone. Unfortunately, there is no redo or undo button. But, you already knew that. I’m sure someone today told you that these troublesome days only make you stronger. And even though, in the back of your mind you believe them there’s probably a bigger part of you that just wants to self-loathe a bit. Right?\n\nGuess what, snap out of it! Or else your bad day will become bad days, a bad week or snowball into a bad month. There’s no real way to sugar coat it – stuff happens. Bad days are just one of the many elements that are part of life. Instead of honing in on the negative, think of the ways things could be worse and count your blessings.",imitator2,email
6,"Congratulations on the completion of the construction of the new marketing wing of XYZ! I know how much time you put into the plans for the building, and I really appreciate the innovation and attention to detail you brought to the project. We knew you were the right person for the job!\n\nThank you so much for your and your staff’s hard work. We look forward to future projects with you.",imitator2,email
7,"Thank you for pulling me into your imaginary world when I needed escaping from my own. You made my skies bright when my days felt gloomy, and granted me shelter when the world around me felt too bright. You taught me the beauty in semi-colons, the sophistication in stringing unordinary words together, and the importance in believing in what you love.",imitator2,email
8,"You never know where this next year will take you, but why should that stop you. I hope this is a year where you smile a lot, learn a lot, and love a lot. I hope you discover something new and exciting, hold on to what you’ve always loved before, and find something unexpected that will amaze you like nothing else, because honestly those are the best surprises. Just remember to take me with you if you are jumping on that bus, train, or plane to explore, because you’re not getting away from me that easily.",imitator2,email
9,"The only way of finding out why your partner doesn’t want to travel is by talking about travel a lot. Sometimes it may be as simple as the cost, which your partner may find prohibitive. But he or she may never say so in open for fear of being judged.\nThis happens often when you aren’t married. At this stage the financial status is still hidden, often.\nIf you think your partner is worried about the finances, speak to them. Explore travel desires that won’t burn a hole in the pocket. Show your spouse traveling options with discounts and offers on tour packages.\nIf cost is the reason, you both need to discuss it in open. Only then you will have any chance of prevailing over your partner and convincing him or her to go on a holiday. For cheap holiday packages check out Expedia, Thomas Cook, Last Minute, Cox and Kings etc.",imitator2,email
10,I'm sorry that you had a terrible day. Do you want to go out and grab something to eat or I could come over to hang out and you could tell me about it. I hope tomorrow will be better for you. Just think positive. I'm sure that it will get better and the rest of your week will be awesome. Let me know if you want to get together.,imitator3,email
11,"I'm sorry, but I have to tell you that your habit is a bit annoying. Don't get offended, I just wanted to point it out to you. Has anyone else told you about your habit? It's not that it's doing any harm to anyone else or me, I just wanted to address it. Was it okay that I told you? I don't want you to be mad at me though.",imitator3,email
12,"I went to Paris, France and I have to say the culture is like nothing I have seen in the United States. It's so calming there and you can learn just about anything like the food, the architecture of the buildings, the history of the people. It is so amazing. I hope that you will be able to go one day because you would love it.",imitator3,email
13,"Dear Eric Jerome Dickey, I have read many of your books for some years now and I have to say you are one of my favorite authors. When you bring out a new book, I am one of the first to seek it out so I can read it or at least try to find it in the local library. Your books sweep me right into the story. I can't wait for your next book to be published.",imitator3,email
14,"Dear parents, I want to thank you for always being there when I was growing up. Many kids I know may only have one of their parents or neither of the at all, and I know that I was blessed to have you both and still have you both in my life. You were awesome parents and now I understand the things that you were trying to teach me and I see myself teaching my own children in the same respect.",imitator3,email
15,One of the reasons I am going to be late for a meeting today is  because of traffic. there is lots of traffic in the city today that you can barely move.\nAnother reason as to why i am going to be late for the meeting is lack of motivation. the meeting is going is boring and the topic is not of any interest to me. ,imitator4,email
16,"I would like to thank my parents for the love they have shown me throughout my entire life, since i was born. \nI would also like to thank my parents for the education that they have provided for me, i am very grateful for that. \nlastly i would like to thank my parents for believing in me. they made me whoever i am. ",imitator4,email
17,"in five years i want to have my own company. \nin five years i want to own several cars.\nin five years i want to have several homes.\nin five years i want to have a family starting a family is a very hard thing to do, i would like to have had one in five years time. two babies are enough for me i think",imitator4,email
18,"it took me a very long to get dressed, first i couldn't my laundry, then when i found it, it was all wrinkled, so i had to do some ironing. breakfast was a hustle, i checked the fridge and could't find any milk. \ngoing to work i got stuck in traffic for almost an hour, the traffic was so bad! and that is why ",imitator4,email
19,I would like to thank Ben Foster my best friend for the car he bought me. he is a very good friend. \ni would like to thank Ann for the chain she bought me.\nAnn is my best friend and I would really like to appreciate her for being part of my life.\nAnn once bought me a tv set too I love that tv set it represents how colorful and interesting our relationship is.  ,imitator4,email
20,"Dear mom and dad,\n\nI just wanted to thank you for everything you've done. I love you, and you know this, but I don't think you get thanked enough for what you do. I just wanted to let you know, again, that I'm thinking of you and everything you've done for me and if I'm called to repay it I will. I love you.",imitator5,email
21,"Dear Friend,\n\nApologies, but I had to cancel our meet. Something came up at work and I have to sit down and really put my nose to the grindstone for, like, hours. It's not something I want to do and it's gross but it happens, you know. Let's reschedule. There's a good place to drink near my house, maybe 2 people present on a good night. Let's hang. ",imitator5,email
